Bait_Prey	Bait	Preys	PreyGene	SaintScore	BFDR	AvgSpec	MIST
orf8-Q9BRN9	orf8	Q9BRN9	TM2D3	0.66	0.03	2.67	0.966748836
orf8-Q9BS26	orf8	Q9BS26	ERP44	1	0	15.67	0.706328526
orf8-Q9BZQ6	orf8	Q9BZQ6	EDEM3	0.98	0	3	0.81834398
orf8-Q9H173	orf8	Q9H173	SIL1	1	0	5	0.967517561
orf8-Q9H488	orf8	Q9H488	POFUT1	0.67	0.03	3	0.879682645
orf8-Q9H4F8	orf8	Q9H4F8	SMOC1	0.66	0.04	2.33	0.972857922
orf8-Q9H8W4	orf8	Q9H8W4	PLEKHF2	0.97	0	2.33	0.98324168
orf8-Q9NXK8	orf8	Q9NXK8	FBXL12	1	0	4.67	0.824465649
orf8-Q9NYU1	orf8	Q9NYU1	UGGT2	0.66	0.03	3	0.844600144
orf8-Q9P2E5	orf8	Q9P2E5	CHPF2	1	0	5	0.703620586
orf8-Q9UHI8	orf8	Q9UHI8	ADAMTS1	0.65	0.05	2	0.96066367
orf8-Q9Y4L1	orf8	Q9Y4L1	HYOU1	1	0	23.33	0.77235306
orf8-Q9Y680	orf8	Q9Y680	FKBP7	1	0	7.33	0.988134523
orf8-Q13443	orf8	Q13443	ADAM9	0.65	0.05	2	0.669574426
orf8-Q96AY3	orf8	Q96AY3	FKBP10	1	0	13.33	0.660192254
orf9b-O14745	orf9b	O14745	SLC9A3R1	1	0	5	0.993764827
orf9b-O43633	orf9b	O43633	CHMP2A	0.65	0.05	2.33	0.948289085
orf9b-O75534	orf9b	O75534	CSDE1	1	0	5	0.988959751
orf9b-O94826	orf9b	O94826	TOMM70	1	0	55	0.978100903
orf9b-P27448	orf9b	P27448	MARK3	1	0	14.67	0.993959488
orf9b-Q7KZI7	orf9b	Q7KZI7	MARK2	1	0	22.33	0.99404114
orf9b-Q9H2P9	orf9b	Q9H2P9	DPH5	0.67	0.03	3	0.956356188
orf9b-Q9H773	orf9b	Q9H773	DCTPP1	1	0	23.33	0.753716811
orf9b-Q9P0L2	orf9b	Q9P0L2	MARK1	1	0	11.67	0.99395635
orf9b-Q9UKA9	orf9b	Q9UKA9	PTBP2	1	0	8.33	0.991125633
orf9b-Q9UL15	orf9b	Q9UL15	BAG5	1	0	6.67	0.864649763
orf9c-O00124	orf9c	O00124	UBXN8	0.98	0	2.67	0.770566762
orf9c-O43292	orf9c	O43292	GPAA1	0.66	0.03	3.33	0.804405154
orf9c-O76024	orf9c	O76024	WFS1	0.67	0.03	3	0.955124813
orf9c-P33527	orf9c	P33527	ABCC1	1	0	12.67	0.77999958
orf9c-P55085	orf9c	P55085	F2RL1	1	0	3.67	0.891878677
orf9c-Q12770	orf9c	Q12770	SCAP	1	0	4	0.895648601
orf9c-Q2PZI1	orf9c	Q2PZI1	DPY19L1	0.65	0.05	2	0.968853805
orf9c-Q5BJF2	orf9c	Q5BJF2	TMEM97	1	0	3.33	0.730637585
orf9c-Q6NXT4	orf9c	Q6NXT4	SLC30A6	0.65	0.05	2	0.774357796
orf9c-Q6NXT6	orf9c	Q6NXT6	TAPT1	0.98	0	2.67	0.941527935
orf9c-Q7Z2K6	orf9c	Q7Z2K6	ERMP1	1	0	14	0.793920345
orf9c-Q86UT6	orf9c	Q86UT6	NLRX1	1	0	11.67	0.93198593
orf9c-Q86VR2	orf9c	Q86VR2	RETREG3	0.99	0	3.33	0.731626333
orf9c-Q8TEQ8	orf9c	Q8TEQ8	PIGO	1	0	7.33	0.746326481
orf9c-Q96K12	orf9c	Q96K12	FAR2	1	0	5.67	0.734768532
orf9c-Q9BQ95	orf9c	Q9BQ95	ECSIT	1	0	6.67	0.776412187
orf9c-Q9BVK2	orf9c	Q9BVK2	ALG8	0.96	0.01	2	0.796680672
orf9c-Q9GZU3	orf9c	Q9GZU3	TMEM39B	0.99	0	4	0.751831436
orf9c-Q9H3K2	orf9c	Q9H3K2	GHITM	1	0	5.67	0.722254821
orf9c-Q9H845	orf9c	Q9H845	ACAD9	1	0	24.33	0.720456009
orf9c-Q9NV92	orf9c	Q9NV92	NDFIP2	1	0	5	0.980637174
orf9c-Q9Y276	orf9c	Q9Y276	BCS1L	1	0	35	0.992309958
orf9c-Q9Y375	orf9c	Q9Y375	NDUFAF1	1	0	3.67	0.762046149
orf9c-Q9Y3A6	orf9c	Q9Y3A6	TMED5	0.65	0.05	2	0.705393478
orf9c-Q9Y6M9	orf9c	Q9Y6M9	NDUFB9	0.66	0.04	2.33	0.966177822
orf9c-Q96S52	orf9c	Q96S52	PIGS	1	0	10.67	0.647089409

